,Loss G,Loss D
235,5056.81640625,-392.62139892578125
236,4653.04833984375,-355.715576171875
237,4223.1591796875,-476.5919189453125
238,4437.5,-452.78955078125
239,5043.7080078125,-452.0758361816406
240,5397.994140625,-411.2864685058594
241,5185.2841796875,-193.14599609375
242,4256.98681640625,-241.04930114746094
243,3440.037109375,-221.34494018554688
244,2852.795166015625,-186.4247283935547
245,2525.459716796875,-195.60781860351562
246,2471.9228515625,-224.0625457763672
247,2708.5927734375,-185.44332885742188
248,3170.746337890625,-203.35009765625
249,3914.31689453125,-300.351806640625
250,5052.1904296875,-405.962890625
251,6687.326171875,-513.4931640625
252,8939.5625,-532.0642700195312
253,10317.982421875,-617.0501098632812
254,10192.626953125,-655.7076416015625
255,8765.236328125,-706.6810302734375
256,7012.17822265625,-210.78924560546875
257,4716.34765625,13.88494873046875
258,2872.86328125,-49.38600158691406
259,1586.509033203125,-103.12808227539062
260,798.4745483398438,-107.98237609863281
261,327.0732421875,-88.04608917236328
262,56.33799743652344,-93.8086166381836
263,-83.38992309570312,-92.3301773071289
264,-126.49099731445312,-119.44894409179688
265,-95.07389068603516,-133.2869873046875
266,-55.26811981201172,-170.50616455078125
267,-108.47836303710938,-217.33892822265625
268,-213.7505340576172,-154.34458923339844
269,-251.5035400390625,-305.04400634765625
270,-60.539207458496094,-338.6378173828125
271,-149.27685546875,-152.616943359375
272,-221.04385375976562,4.810302734375
273,-233.00869750976562,-143.4215087890625
274,-199.18943786621094,-89.54594421386719
275,-138.7538299560547,-85.63362121582031
276,-63.393882751464844,-21.594268798828125
277,-0.19772905111312866,8.675352096557617
278,45.549842834472656,8.52104377746582
279,75.96967315673828,13.21147632598877
280,99.18563079833984,17.78868293762207
281,114.33512115478516,20.5242919921875
282,123.15345001220703,24.086837768554688
283,125.3932876586914,23.33049774169922
284,120.72695922851562,24.026348114013672
285,109.83297729492188,21.744205474853516
286,93.42424774169922,20.345178604125977
287,71.59476470947266,17.435457229614258
288,45.55531311035156,14.543889999389648
289,13.886631965637207,10.503643035888672
290,-20.931848526000977,9.630751609802246
291,-60.52568817138672,4.305885314941406
292,-105.94168090820312,-0.4604148864746094
293,-158.64967346191406,-4.342892646789551
294,-219.4260711669922,-9.25059700012207
295,-290.43194580078125,-11.467031478881836
296,-373.4379577636719,-20.428850173950195
297,-473.46124267578125,-37.201053619384766
298,-601.7620849609375,-41.297760009765625
299,-764.3792114257812,-48.008697509765625
300,-971.2015380859375,-86.96776580810547
301,-1255.025390625,-100.39239501953125
302,-1638.60107421875,-153.44467163085938
303,-2183.523681640625,-169.06924438476562
304,-2918.49462890625,-113.1591796875
305,-3596.3056640625,-96.72674560546875
306,-3930.313720703125,-45.328857421875
307,-3638.8046875,-192.52633666992188
308,-3160.26513671875,-150.270751953125
309,-2570.366455078125,-197.6134490966797
310,-2076.919189453125,-270.5135803222656
311,-1774.734619140625,-247.49151611328125
312,-1615.0670166015625,-242.34353637695312
313,-1545.8857421875,-275.51690673828125
314,-1552.52978515625,-307.865234375
315,-1573.532958984375,-426.4743957519531
316,-1529.981201171875,-482.34075927734375
317,-1436.470703125,-402.3955383300781
318,-1155.328369140625,-576.5081176757812
319,-1540.54248046875,-705.7341918945312
320,-1767.082275390625,-625.325439453125
321,-2050.697265625,-953.2241821289062
322,-2370.067626953125,-998.0704956054688
323,-2393.57275390625,-1269.378173828125
324,-2286.2958984375,-1129.8681640625
325,-1896.7003173828125,-1106.610107421875
326,-1295.623046875,-1456.194091796875
327,-1268.032958984375,-1122.64404296875
328,-1573.4925537109375,-1233.76806640625
329,-1796.8121337890625,-1587.1983642578125
330,-2319.792724609375,-1330.3656005859375
331,-2331.36181640625,-1138.614990234375
332,-1686.995361328125,-1121.857666015625
333,-1283.87548828125,-1172.44775390625
334,-1289.4290771484375,-1185.730224609375
335,-1682.1341552734375,-1658.501220703125
336,-2744.095703125,-1710.04931640625
337,-3222.769287109375,-2567.41650390625
338,-2991.8974609375,-400.34423828125
339,-1248.635986328125,-1172.65771484375
340,-557.6466064453125,-684.853515625
341,-333.479736328125,-389.6534729003906
342,-255.98336791992188,-262.06829833984375
343,-233.934326171875,-190.42881774902344
344,-240.462890625,-163.02415466308594
345,-266.0312194824219,-174.91355895996094
346,-310.6103515625,-175.58486938476562
347,-376.81591796875,-189.2587432861328
348,-470.78253173828125,-216.95834350585938
349,-602.2034912109375,-255.6776123046875
350,-789.1455078125,-332.8713684082031
351,-1062.189697265625,-428.745849609375
352,-1469.773193359375,-571.1429443359375
353,-2074.4228515625,-829.24658203125
354,-3009.78076171875,-1180.2637939453125
355,-4440.431640625,-1541.956298828125
356,-6355.64013671875,-628.91455078125
357,-5617.6455078125,-1528.821533203125
